subset,n,model,accuracy,macro_f1
low_emoji,2082,baseline_lr,0.8794,0.8591
low_emoji,2082,baseline_rf,0.8564,0.8293
low_emoji,2082,baseline_xgb,0.8549,0.8366
low_emoji,2082,method2_lr,0.8353,0.7939
low_emoji,2082,method2_rf,0.8636,0.8391
low_emoji,2082,method2_xgb,0.8607,0.8357
low_emoji,2082,method2b_lr,0.8425,0.8169
low_emoji,2082,method2b_xgb,0.8732,0.8506
high_emoji,856,baseline_lr,0.7921,0.7913
high_emoji,856,baseline_rf,0.7652,0.7649
high_emoji,856,baseline_xgb,0.7617,0.7582
high_emoji,856,method2_lr,0.7196,0.717
high_emoji,856,method2_rf,0.7862,0.7855
high_emoji,856,method2_xgb,0.7804,0.7788
high_emoji,856,method2b_lr,0.7033,0.6869
high_emoji,856,method2b_xgb,0.7687,0.7675
contradiction,652,baseline_lr,0.865,0.8547
contradiction,652,baseline_rf,0.8313,0.818
contradiction,652,baseline_xgb,0.8451,0.8379
contradiction,652,method2_lr,0.7837,0.7652
contradiction,652,method2_rf,0.8604,0.8521
contradiction,652,method2_xgb,0.839,0.8308
contradiction,652,method2b_lr,0.8098,0.8034
contradiction,652,method2b_xgb,0.8482,0.8405
