trial_number,state,value,learning_rate,batch_size,epochs,weight_decay,cv_oof_accuracy,cv_oof_precision,cv_oof_recall,cv_oof_f1,cv_oof_roc_auc,cv_selected_threshold
1,TrialState.COMPLETE,0.866505558240696,4.031170288036927e-05,16,3,0.021233911067827616,0.8955331139604372,0.8630018292095889,0.870037853052509,0.866505558240696,0.9589788030749595,0.4
5,TrialState.PRUNED,0.8664921465968587,3.67320780046205e-05,8,2,0.04951769101112702,,,,,,
4,TrialState.COMPLETE,0.8650271661424078,2.594657353877965e-05,16,4,0.09656320330745594,0.8928855100419835,0.8497986702874801,0.8808114141512181,0.8650271661424078,0.9516397575860933,0.37
9,TrialState.PRUNED,0.8640992625541379,1.7756602567007305e-05,16,3,0.09868869366005173,,,,,,
8,TrialState.PRUNED,0.8621190130624092,1.1530645080977555e-05,8,3,0.08287375091519295,,,,,,
3,TrialState.PRUNED,0.8615566037735849,1.251705107614021e-05,16,3,0.05142344384136116,,,,,,
7,TrialState.PRUNED,0.8597222222222223,1.3465042222746445e-05,8,2,0.09218742350231168,,,,,,
0,TrialState.COMPLETE,0.858679752748549,1.827226177606625e-05,8,2,0.005808361216819946,0.8867203752032982,0.8355371900826446,0.8831408327671552,0.858679752748549,0.9602668453013021,0.15000000000000002
2,TrialState.PRUNED,0.8576449912126538,1.3399549522183029e-05,16,2,0.06118528947223795,,,,,,
6,TrialState.PRUNED,0.8522617901828682,1.0569064414047021e-05,8,2,0.054671027934327966,,,,,,
