trial_number,state,value,learning_rate,batch_size,epochs,weight_decay,cv_oof_accuracy,cv_oof_precision,cv_oof_recall,cv_oof_f1,cv_oof_roc_auc,cv_selected_threshold
9,TrialState.PRUNED,0.8663190329461958,1.7756602567007305e-05,16,3,0.09868869366005173,,,,,,
8,TrialState.PRUNED,0.8645191852202747,1.1530645080977555e-05,8,3,0.08287375091519295,,,,,,
5,TrialState.PRUNED,0.8642182079196076,3.67320780046205e-05,8,2,0.04951769101112702,,,,,,
4,TrialState.COMPLETE,0.8640386940749698,2.594657353877965e-05,16,4,0.09656320330745594,0.8936797912175196,0.8611646741226379,0.8669319615645928,0.8640386940749698,0.953919858673853,0.4
1,TrialState.COMPLETE,0.8631761643043101,4.031170288036927e-05,16,3,0.021233911067827616,0.8926585725632589,0.857553405498611,0.8688731437445404,0.8631761643043101,0.9573173846337962,0.43
0,TrialState.COMPLETE,0.8617561855914898,1.827226177606625e-05,8,2,0.005808361216819946,0.8898974999054428,0.8436860702994234,0.8806172959332234,0.8617561855914898,0.9608742827815455,0.16
3,TrialState.PRUNED,0.8612316715542522,1.251705107614021e-05,16,3,0.05142344384136116,,,,,,
7,TrialState.PRUNED,0.8587666263603386,1.3465042222746445e-05,8,2,0.09218742350231168,,,,,,
6,TrialState.PRUNED,0.8559443911792906,1.0569064414047021e-05,8,2,0.054671027934327966,,,,,,
2,TrialState.PRUNED,0.8557634278817139,1.3399549522183029e-05,16,2,0.06118528947223795,,,,,,
